# names
Ana              <=> Ana

abasho (adv)     <=> down
abasho (adv)     <=> below
akavidarse       <=> to be given
aktor            <=> actor
alay             <=> multitude
alkol            <=> alcohol (m)
alkunya          <=> surname
alma             <=> soul
alma             <=> spirit
ardor            <=> ardour
andjel           <=> angel
aniyo (m)        <=> ring
dialekto         <=> dialect
dialektos        <=> dialects
djugo            <=> game
edad             <=> age
haver            <=> partner
haverim          <=> partners
kayente          <=> hot
kazal            <=> village
kazalina         <=> villager (f)
kazalino         <=> villager (m)
kolay            <=> easy
kolor            <=> color (m)
komida           <=> meal
kompanyero       <=> companion
kompanyero       <=> partner
lindo            <=> pretty
linda            <=> pretty
mankar           <=> lack
menester         <=> necessary
minutos          <=> minutes
musafir          <=> guest
muzika           <=> music
negativo         <=> negative
no ay por kualo  <=> nothing at all
psikopatologia   <=> psychopatology
tasa             <=> cup (f)
zor              <=> difficult


# Verbs


# Numbers
venti uno  <=> twenty one
trenta     <=> thirty
trenti uno <=> thirty one
kuarenta   <=> fourty
sinkuenta  <=> fifty
setenta    <=> seventy
ochenta    <=> eighty
noventa    <=> ninety
sien       <=> hundred
siento venti tres <=> one hundred twenty three

